practiceimage,PracticeimageCorrAns,congruent,practiceSentence,practiceSentenceCompQ,compRespL,compRespR,compRespCorr,block,image,sentence,ambiguous,critical,Incongruent,Single,imageCorrAns,incongruentambiguous,criticalSentenceCode,compQ,RepeatFlankerIfNeeded.thisRepN,RepeatFlankerIfNeeded.thisTrialN,RepeatFlankerIfNeeded.thisN,RepeatFlankerIfNeeded.thisIndex,practiceFlankerLoop.thisRepN,practiceFlankerLoop.thisTrialN,practiceFlankerLoop.thisN,practiceFlankerLoop.thisIndex,RepeatPracticeSentencesIfNeeded.thisRepN,RepeatPracticeSentencesIfNeeded.thisTrialN,RepeatPracticeSentencesIfNeeded.thisN,RepeatPracticeSentencesIfNeeded.thisIndex,practiceSentenceLoop.thisRepN,practiceSentenceLoop.thisTrialN,practiceSentenceLoop.thisN,practiceSentenceLoop.thisIndex,MixedPractice.thisRepN,MixedPractice.thisTrialN,MixedPractice.thisN,MixedPractice.thisIndex,MixedPracticeTrial.thisRepN,MixedPracticeTrial.thisTrialN,MixedPracticeTrial.thisN,MixedPracticeTrial.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,keyResponseIntroText.keys,keyResponseIntroText.rt,keyResponseIntro2Text.keys,keyResponseIntro2Text.rt,FlankerInstructions_keyresponse.keys,FlankerInstructions_keyresponse.rt,FlankerInstructions2_keyresponse.keys,FlankerInstructions2_keyresponse.rt,PracticeFlankerResponse.keys,PracticeFlankerResponse.corr,PracticeFlankerResponse.rt,SPRInstructions_keyresponse.keys,SPRInstructions_keyresponse.rt,key_resp_5.keys,key_resp_5.rt,SPRinstructions2_keyresponse.keys,SPRinstructions2_keyresponse.rt,IRI_0,IRI_FL_0,space_0,IRI_1,IRI_FL_1,space_1,IRI_2,IRI_FL_2,space_2,IRI_3,IRI_FL_3,space_3,IRI_4,IRI_FL_4,space_4,IRI_5,IRI_FL_5,space_5,IRI_6,IRI_FL_6,space_6,IRI_7,IRI_FL_7,space_7,IRI_8,IRI_FL_8,space_8,IRI_9,IRI_FL_9,space_9,IRI_10,IRI_FL_10,space_10,IRI_11,IRI_FL_11,space_11,IRI_12,IRI_FL_12,space_12,IRI_13,IRI_FL_13,space_13,key_resp_practiceCompQ.keys,key_resp_practiceCompQ.corr,key_resp_practiceCompQ.rt,IRI_14,IRI_FL_14,space_14,IRI_15,IRI_FL_15,space_15,combinedInstructions_keyresponse.keys,combinedInstructions_keyresponse.rt,keyResponseInstructionsMixed.keys,keyResponseInstructionsMixed.rt,flankerkeyresponse.keys,flankerkeyresponse.corr,flankerkeyresponse.rt,CompQkeyresponse.keys,CompQkeyresponse.corr,CompQkeyresponse.rt,key_resp_3.keys,keyResponsePreStart.keys,keyResponsePreStart.rt,key_resp_2.keys,key_resp_4.keys,IRI_16,IRI_FL_16,space_16,IRI_17,IRI_FL_17,space_17,IRI_18,IRI_FL_18,space_18,IRI_19,IRI_FL_19,space_19,IRI_20,IRI_FL_20,space_20,key_resp_4.rt,rest_keyresponse.keys,rest_keyresponse.rt,key_resp_2.rt,session,participant,level,frameRate,expName,date,group,
,,None,,,Verdadero,Falso,f,None,single_right,La madre de Julieta vive en Filadelfia así que Julieta la visita mucho,None,None,None,None,j,None,None,Julieta y su madre se ven mucho.,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,0.935261011124,0.88817691803,0.935261011124,0.352443933487,0.305822134018,1.28770494461,0.365672111511,0.299800872803,1.65337705612,0.386032819748,0.318265914917,2.03940987587,0.366559028625,0.286797046661,2.4059689045,0.452701091766,0.388953924179,2.85866999626,0.43425989151,0.36959695816,3.29292988777,0.48463511467,0.422508955002,3.77756500244,0.483025074005,0.419539928436,4.26059007645,0.384457826614,0.319159984589,4.64504790306,0.402503967285,0.338312149048,5.04755187035,0.382853031158,0.319116830826,5.4304049015,0.419486045837,0.368983030319,5.84989094734,,,,,,,,,,,,,,,space,8.17321801186,j,1,0.413802862167,f,1,1.95966506004,None,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,None,,,Verdadero,Falso,j,None,single_left,A Iván le gusta cocinar y toma clases de gastronomía,None,None,None,None,f,None,None,Iván cocina mucho.,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.617658853531,0.576251983643,0.617658853531,0.35130405426,0.287005901337,0.968962907791,0.35048699379,0.287021875381,1.31944990158,0.384433031082,0.320713996887,1.70388293266,0.419439077377,0.372651815414,2.12332201004,0.416783809662,0.356070995331,2.5401058197,0.418037176132,0.354994058609,2.95814299583,0.366609811783,0.319061994553,3.32475280762,0.452789068222,0.404768943787,3.77754187584,0.383888959885,0.321159124374,4.16143083572,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.471205949783,f,0,1.28947210312,None,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,None,,,Verdadero,Falso,f,None,incongruent_right,Estudio mucho durante la semana para poder divertirme durante el fin de semana,None,None,None,None,j,None,None,No voy a la biblioteca mucho los fines de semana.,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.600780010223,0.521330833435,0.600780010223,0.349051952362,0.286265850067,0.949831962585,0.352475166321,0.28470993042,1.30230712891,0.36699795723,0.30544090271,1.66930508614,0.351984977722,0.288597106934,2.02129006386,0.399705886841,0.336482048035,2.4209959507,0.419278144836,0.354991197586,2.84027409554,0.349146842957,0.285593986511,3.18942093849,0.385132074356,0.320869922638,3.57455301285,0.418313026428,0.354995012283,3.99286603928,0.351068019867,0.288254976273,4.34393405914,0.401376962662,0.338606834412,4.7453110218,0.351125955582,0.288170099258,5.09643697739,,,,,,,,,,,,,,,,,j,1,0.84007692337,f,1,3.19408488274,None,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,None,,,Verdadero,Falso,f,None,congruent_right,Me gusta vivir en la ciudad de Washington porque tiene mucha historia,None,None,None,None,j,None,None,Estoy contento viviendo en D.C.,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.635771036148,0.591800928116,0.635771036148,0.33295083046,0.269165992737,0.968721866608,0.352009057999,0.287357091904,1.32073092461,0.383933067322,0.317170143127,1.70466399193,0.401979923248,0.338965177536,2.10664391518,0.349992990494,0.283540010452,2.45663690567,0.368545055389,0.304875135422,2.82518196106,0.334060907364,0.271383047104,3.15924286842,0.401234149933,0.323429107666,3.56047701836,0.451095819473,0.388423919678,4.01157283783,0.417402982712,0.354253053665,4.42897582054,0.36722111702,0.305473089218,4.79619693756,,,,,,,,,,,,,,,,,,,,j,1,0.570127010345,f,1,2.2077858448,None,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,None,,,Verdadero,Falso,j,None,congruent_left,El chico corrió en el parque ayer,None,None,None,None,f,None,None,El chico no hizo nada ayer.,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.567692041397,0.541238069534,0.567692041397,0.366446971893,0.336273193359,0.93413901329,0.384111166,0.354079008102,1.31825017929,0.384371995926,0.320267915726,1.70262217522,0.384345054626,0.337067842484,2.08696722984,0.367389917374,0.320259094238,2.45435714722,0.402243852615,0.339426994324,2.85660099983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.506036996841,j,1,1.60815811157,None,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,None,,,Verdadero,Falso,j,None,incongruent_left,Mi estación preferida es el verano,None,None,None,None,f,None,None,Me gusta el invierno más que las otras estaciones.,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.699917078018,0.6760430336,0.699917078018,0.350954055786,0.319071054459,1.0508711338,0.335554838181,0.305820941925,1.38642597198,0.382802963257,0.320322990417,1.76922893524,0.417788982391,0.370463848114,2.18701791763,0.351343154907,0.287594795227,2.53836107254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.604535102844,j,1,2.45899796486,None,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,71.3380529881,,,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,f,A,congruent_right,El reloj de mi mamá tiene diamantes pero le queda muy bien,0,0,0,0,j,0,223,Mi madre tiene un reloj bonito.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,52,,,,,,,,,,,,,,,,,,0.567691087723,0.526216030121,0.567691087723,0.333760976791,0.288131952286,0.901452064514,0.316357135773,0.251099824905,1.21780920029,0.302026987076,0.257959127426,1.51983618736,0.284175872803,0.221405982971,1.80401206017,0.351583957672,0.284790039062,2.15559601784,0.451054096222,0.38606595993,2.60665011406,0.382670879364,0.336049079895,2.98932099342,0.335290193558,0.284255027771,3.32461118698,0.333792924881,0.287573099136,3.65840411186,0.333297967911,0.270004987717,3.99170207977,0.318788051605,0.270683050156,4.31049013138,,,,,,,,,,,,,,,,,,,,j,1,0.486576080322,f,1,1.62554788589,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,0,,,Verdadero,Falso,j,A,single_left,Ana vació el lavaplatos en la cocina,0,0,0,1,f,0,206,Ana no ayudó con los quehaceres.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,35,,,,,,,,,,,,,,,,,,0.383111000061,0.337218999863,0.383111000061,0.352469205856,0.322704076767,0.735580205917,0.334290981293,0.285088062286,1.06987118721,0.281973838806,0.236127853394,1.35184502602,0.38511800766,0.337244033813,1.73696303368,0.367151975632,0.318387985229,2.10411500931,0.284366130829,0.252467870712,2.38848114014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.419720172882,j,1,1.54086303711,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,0,,,Verdadero,Falso,f,A,incongruent_left,Después de que comieron el pollo se enfrió inmediatamente ,1,1,1,0,f,1,1,Comieron el pollo caliente.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,0.533305168152,0.494196176529,0.533305168152,0.301172018051,0.25084900856,0.834477186203,0.284471988678,0.237075805664,1.11894917488,0.284971952438,0.234613895416,1.40392112732,0.317234992981,0.271751880646,1.7211561203,0.315833091736,0.252914905548,2.03698921204,0.318706989288,0.271873950958,2.35569620132,0.416704893112,0.366358041763,2.77240109444,0.319391965866,0.272032976151,3.0917930603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.584404945374,f,1,2.29339790344,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,0,,,Verdadero,Falso,f,A,single_left,The boy,0,0,0,1,f,0,305,a,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.670897960663,None,0,,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,f,A,congruent_left,The boy,0,0,0,0,f,0,307,a,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.939206123352,None,0,,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,j,A,congruent_left,Cuando los jardineros terminaron el jardín quedó lleno de flores,1,1,0,0,f,0,10,Los jardineros todavía no acaban su trabajo.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,9,,,,,,,,,,,,,,,,,,0.583548069,0.544579029083,0.583548069,0.333832979202,0.270041942596,0.917381048203,0.301557064056,0.254333972931,1.21893811226,0.300318002701,0.253713130951,1.51925611496,0.400786876678,0.353235960007,1.92004299164,0.400802135468,0.352474212646,2.32084512711,0.317781925201,0.253458023071,2.63862705231,0.38561296463,0.338948011398,3.02424001694,0.334139108658,0.284133911133,3.3583791256,0.317856788635,0.254398822784,3.67623591423,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.520597219467,j,1,1.7072019577,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,0,,,Verdadero,Falso,j,A,single_left,Mis hijas están saltando la cuerda en el jardín,0,0,0,1,f,0,226,A mis hijas no les gusta jugar en el jardín.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,55,,,,,,,,,,,,,,,,,,0.751621007919,0.72293806076,0.751621007919,0.350368022919,0.30527305603,1.10198903084,0.284207105637,0.238045930862,1.38619613647,0.351145029068,0.305853128433,1.73734116554,0.317533016205,0.268135070801,2.05487418175,0.317380905151,0.270982027054,2.3722550869,0.367564916611,0.321288108826,2.73982000351,0.334933042526,0.289206981659,3.07475304604,0.283901929855,0.238410949707,3.35865497589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.489207029343,j,1,1.70742702484,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,f,A,congruent_left,El pescado está listo para comer,0,0,0,0,f,0,229,Vamos a comer pescado.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,58,,,,,,,,,,,,,,,,,,0.635710000992,0.599296092987,0.635710000992,0.316924095154,0.270745992661,0.952634096146,0.318531990051,0.273121118546,1.2711660862,0.316691875458,0.287779808044,1.58785796165,0.316929101944,0.269959926605,1.9047870636,0.318145990372,0.289398193359,2.22293305397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.486577987671,f,1,1.12123990059,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,0,,,Verdadero,Falso,f,A,incongruent_right,Cuando Dora salió la comida se le quedó en el orno quemándose,0,1,1,0,j,0,130,Dora salió despistada.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,24,,,,,,,,,,,,,,,,,,0.565776109695,0.523931980133,0.565776109695,0.36915397644,0.321525812149,0.934930086136,0.366748094559,0.320130109787,1.30167818069,0.385797023773,0.322157144547,1.68747520447,0.334199905396,0.271881103516,2.02167510986,0.367670059204,0.306057214737,2.38934516907,0.350334882736,0.287626981735,2.7396800518,0.300189971924,0.23916220665,3.03987002373,0.384557008743,0.320774078369,3.42442703247,0.400591135025,0.35317492485,3.8250181675,0.302130937576,0.254326105118,4.12714910507,0.317821025848,0.271286010742,4.44497013092,,,,,,,,,,,,,,,,,,,,j,1,0.586711883545,f,1,4.91391301155,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,f,A,congruent_left,The boy,0,0,0,0,f,0,303,a,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.485414028168,None,0,,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,f,A,congruent_right,The boy,0,0,0,0,j,0,308,a,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.488800048828,None,0,,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,0,,,Verdadero,Falso,j,A,incongruent_left,Justo cuando llegaban el carro viejo se chocó contra un poste de luz,0,1,1,0,f,0,123,Llegaron sin incidente.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,21,,,,,,,,,,,,,,,,,,0.584363937378,0.543874025345,0.584363937378,0.38315987587,0.318588972092,0.967523813248,0.268429040909,0.205173015594,1.23595285416,0.334357976913,0.273143053055,1.57031083107,0.283686161041,0.222098112106,1.85399699211,0.316025018692,0.253220081329,2.1700220108,0.302440881729,0.251420974731,2.47246289253,0.30139708519,0.23829293251,2.77385997772,0.300164937973,0.238113880157,3.0740249157,0.300616979599,0.240148067474,3.37464189529,0.317944049835,0.239027023315,3.69258594513,0.283406972885,0.237040996552,3.97599291801,0.284444093704,0.22083902359,4.26043701172,,,,,,,,,,,,,,,,,f,1,0.434963941574,j,1,1.33886408806,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,j,A,congruent_left,Mi mamá guardó la escultura que hizo en la clase en su mesa de trabajo,1,1,0,0,f,0,14,La escultura está en mi estudio de arte.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,13,,,,,,,,,,,,,,,,,,0.534399986267,0.494224071503,0.534399986267,0.315654993057,0.253185033798,0.850054979324,0.285691022873,0.238877058029,1.1357460022,0.250586986542,0.187670946121,1.38633298874,0.300985097885,0.239151954651,1.68731808662,0.300440073013,0.239681959152,1.98775815964,0.317171812057,0.255176067352,2.30492997169,0.401455163956,0.338071107864,2.70638513565,0.349591016769,0.288130998611,3.05597615242,0.300314903259,0.21940279007,3.35629105568,0.319112062454,0.255355834961,3.67540311813,0.301208019257,0.240186929703,3.97661113739,0.299265861511,0.236877202988,4.2758769989,0.301023006439,0.22008895874,4.57690000534,,,,0.318269968033,0.2554500103,4.89516997337,,,,,,,,f,1,0.505225896835,j,1,1.42369508743,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,0,,,Verdadero,Falso,f,A,single_right,Mi hermana guardó en su celular el número del chico guapo,0,0,0,1,j,0,208,A mi hermana le gustaría salir con el chico.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,37,,,,,,,,,,,,,,,,,,0.585323810577,0.55732011795,0.585323810577,0.383275032043,0.333245992661,0.968598842621,0.267246007919,0.216167211533,1.23584485054,0.302452087402,0.254419088364,1.53829693794,0.300902843475,0.25453209877,1.83919978142,0.267134189606,0.220806837082,2.10633397102,0.299359798431,0.249222993851,2.40569376945,0.333886146545,0.286741018295,2.739579916,0.293487071991,0.236265182495,3.03306698799,0.325860977173,0.236854076385,3.35892796516,0.334115982056,0.287760019302,3.69304394722,,,,,,,,,,,,,,,,,,,,,,,j,1,0.520073890686,f,1,1.89087510109,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,0,,,Verdadero,Falso,f,A,incongruent_right,Después de que la arquitecta renunció los planos cambiaron mucho,0,1,1,0,j,0,122,El diseño final no era de la arquitecta.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,20,,,,,,,,,,,,,,,,,,0.649499893188,0.609606981277,0.649499893188,0.335437059402,0.287485122681,0.984936952591,0.30066204071,0.254205942154,1.2855989933,0.299342870712,0.251861095428,1.58494186401,0.268354177475,0.17108798027,1.85329604149,0.30088186264,0.201678991318,2.15417790413,0.434442043304,0.354038000107,2.58861994743,0.334656000137,0.255702972412,2.92327594757,0.350569009781,0.287644863129,3.27384495735,0.34999704361,0.285224914551,3.62384200096,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.790396928787,f,1,1.87515997887,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,j,A,congruent_left,Los novios montaron la mesa que su amigo les dejó en su porche en la cocina de su nuevo apartamento ,1,1,0,0,f,0,18,Los novios pusieron la mesa en su porche.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,17,,,,,,,,,,,,,,,,,,0.717777967453,0.651502132416,0.717777967453,0.433427095413,0.367218017578,1.15120506287,0.335407018661,0.254848003387,1.48661208153,0.333899974823,0.255553007126,1.82051205635,0.417306900024,0.337661027908,2.23781895638,0.318234920502,0.238166809082,2.55605387688,0.334151029587,0.255067110062,2.89020490646,0.31661605835,0.235975980759,3.20682096481,0.351851940155,0.287526130676,3.55867290497,0.333470106125,0.250362873077,3.89214301109,0.316977977753,0.236498117447,4.20912098885,0.318484067917,0.250560998917,4.52760505676,0.301339864731,0.239690065384,4.82894492149,0.283692121506,0.205584049225,5.112637043,,,,0.332749843597,0.253166913986,5.4453868866,0.31822013855,0.253386974335,5.76360702515,,,,,f,1,0.686059951782,j,1,3.54735898972,,,,None,None,0.302011013031,0.222584009171,6.06561803818,0.333436012268,0.25111413002,6.39905405045,0.300449848175,0.219305038452,6.69950389862,0.317921161652,0.254658937454,7.01742506027,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,f,A,congruent_left,Justo después de bajarme el autobús falló de repente ,0,0,0,0,f,0,213,Deben mandar el autobús al mecánico.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,42,,,,,,,,,,,,,,,,,,0.600555896759,0.564404964447,0.600555896759,0.3356590271,0.272177934647,0.936214923859,0.317011117935,0.271226882935,1.25322604179,0.267239809036,0.219418048859,1.52046585083,0.285170078278,0.238038063049,1.80563592911,0.300597906113,0.255201816559,2.10623383522,0.317308187485,0.270816087723,2.42354202271,0.301029920578,0.25471997261,2.72457194328,0.351197004318,0.284716129303,3.0757689476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,1,0.55048418045,f,1,2.34564614296,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,0,,,Verdadero,Falso,f,A,incongruent_right,Cuando mi madre lavaba la ropa quedaba muy limpia,1,1,1,0,j,1,8,Mi madre me ayuda con el lavado de ropa.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,7,,,,,,,,,,,,,,,,,,0.551805019379,0.521214962006,0.551805019379,0.334852933884,0.288763046265,0.886657953262,0.267668962479,0.22150182724,1.15432691574,0.283873081207,0.237534046173,1.43819999695,0.283366918564,0.239531993866,1.72156691551,0.267030000687,0.221347808838,1.9885969162,0.266832113266,0.218902111053,2.25542902946,0.284510850906,0.235209226608,2.53993988037,0.33548617363,0.285306930542,2.875426054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.604603052139,f,1,3.01163077354,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,0,,,Verdadero,Falso,j,A,single_right,El señor gordo tomó un café solo,0,0,0,1,j,0,228,El señor estaba solo cuando bebió el café.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,57,,,,,,,,,,,,,,,,,,0.582667827606,0.557852983475,0.582667827606,0.334995985031,0.305890083313,0.917663812637,0.301066160202,0.254467964172,1.21872997284,0.318109989166,0.267811059952,1.53683996201,0.283726930618,0.240616798401,1.82056689262,0.26597905159,0.217839002609,2.08654594421,0.301893949509,0.272357940674,2.38843989372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,1,0.440546989441,j,1,5.36899709702,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,f,A,congruent_left,Los autobuses en Madrid tienen más de quince pies de altura ,0,0,0,0,f,0,225,Los autobuses madrileños son muy altos.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,54,,,,,,,,,,,,,,,,,,0.601644039154,0.534004211426,0.601644039154,0.300858974457,0.238811969757,0.902503013611,0.299958944321,0.221281051636,1.20246195793,0.368260145187,0.305786132812,1.57072210312,0.366894960403,0.303814172745,1.93761706352,0.334893941879,0.254599094391,2.2725110054,0.316880941391,0.26993894577,2.58939194679,0.300837993622,0.253369808197,2.89022994041,0.317584991455,0.254647016525,3.20781493187,0.284286975861,0.220566987991,3.49210190773,0.351045131683,0.3047311306,3.84314703941,,,,,,,,,,,,,,,,,,,,,,,f,1,0.653622865677,f,1,2.37535619736,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
,,1,,,Verdadero,Falso,j,A,congruent_right,María acomodó las revistas que Gabriela dejó bajo la cama en el librero cuando las encontró,1,1,0,0,j,0,15,Las revistas de Gabriela están escondidas bajo la cama.,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,20,20,14,,,,,,,,,,,,,,,,,,0.634801864624,0.563734054565,0.634801864624,0.349542140961,0.250941038132,0.984344005585,0.302605867386,0.223232030869,1.28694987297,0.299993991852,0.189054965973,1.58694386482,0.385013103485,0.319723129272,1.97195696831,0.300031900406,0.23465013504,2.27198886871,0.300765991211,0.239042043686,2.57275485992,0.301287174225,0.239066123962,2.87404203415,0.33442902565,0.255167961121,3.2084710598,0.350251913071,0.288288116455,3.55872297287,0.301542043686,0.235341787338,3.86026501656,0.283283948898,0.218101978302,4.14354896545,0.283446073532,0.202690124512,4.42699503899,0.317644834518,0.221472978592,4.7446398735,,,,0.317650079727,0.253221035004,5.06228995323,0.318072080612,0.253786802292,5.38036203384,,,,,j,1,0.755421161652,f,0,2.71244502068,,,,None,None,,,,,,,,,,,,,,,,,,,,1,4,4,60.00203139506772,Dissertation,2018_Jul_20_1135,3,
